time, x, y
6.198375, 8.65821673525, 2.18666514251
7.197307, 8.12696844993, 2.41978509374
8.194016, 7.3093735711, 2.34452065234
9.191473, 6.21547934766, 2.04879134278
10.18918, 5.47575064777, 2.12538789819
11.187114, 4.58782502667, 2.00549763756
12.1861556577, 4.06411217802, 1.96953055937
13.184617, 3.58812376162, 2.08342630697
14.1885626577, 3.0882731291, 2.04479500076
15.1893806577, 2.80695016004, 2.01881877763
16.182937, 2.74415485444, 1.85097241274
17.182801, 2.7077335772, 1.89559823198
18.182801, 2.71526901387, 1.89559823198
19.1897886577, 2.73787532388, 1.92490474013
20.1897896577, 2.70522176497, 2.00549763756
21.1900156577, 2.71275720165, 1.92357262612
22.182891, 2.70647767109, 1.90225880201
23.182891, 2.71401310776, 1.91424782807
24.182914, 2.70647767109, 1.90891937205
25.182937, 2.71526901387, 1.92357262612
26.18296, 2.71401310776, 1.91358177107
27.18296, 2.71652491998, 1.90159274501
28.182982, 2.75169029111, 1.92357262612
